日付,10R_1着,10R_2着,10R_3着,10R_払戻,11R_1着,11R_2着,11R_3着,11R_払戻,12R_1着,12R_2着,12R_3着,12R_払戻,10R_人気,11R_人気,12R_人気,10R_風速,10R_風向,10R_波高,11R_風速,11R_風向,11R_波高,12R_風速,12R_風向,12R_波高
2023-08-15,4,1,2,4260,3,6,4,3510,5,2,1,27020,10,13,53,5,11,4,4,11,3,4,11,3
2023-08-16,1,4,2,3150,1,5,6,9920,1,2,3,630,10,22,2,1,3,1,3,3,2,2,3,1
2023-08-17,1,3,4,1410,1,4,3,510,1,4,3,2250,5,2,7,2,15,1,1,15,1,1,15,1
2023-08-18,1,2,3,540,1,3,6,3130,1,2,6,1840,1,10,6,2,1,1,2,1,1,2,15,1
2023-08-19,1,2,3,570,2,4,1,18680,2,4,5,13840,1,40,33,1,15,1,1,15,1,1,1,1
2023-08-20,1,5,2,3820,1,5,2,3260,1,2,5,1450,12,11,7,1,7,1,2,7,1,1,7,1
2023-08-28,1,5,6,4780,1,4,3,1570,1,3,4,1180,15,6,4,2,5,1,1,3,1,1,3,1
2023-08-29,6,1,2,5710,1,3,4,1670,5,3,1,21050,20,5,48,1,5,1,1,3,1,1,1,1
2023-08-30,2,5,1,63260,5,2,6,53380,1,5,6,2630,72,71,11,1,1,1,1,15,1,1,15,1
2023-08-31,1,4,6,4300,1,2,3,870,1,2,5,1750,15,1,7,3,1,2,2,1,1,2,15,1
2023-09-01,1,4,2,1240,1,3,5,1140,3,2,5,14630,6,5,43,1,15,1,2,15,1,1,3,1
2023-09-02,3,1,4,3610,3,1,2,4730,1,3,2,690,10,13,2,1,1,1,1,1,1,1,1,1
2023-09-07,1,3,5,1930,1,3,2,1180,1,2,5,1210,7,2,3,7,11,6,7,11,6,6,11,5
2023-09-08,4,5,2,8300,1,5,4,3150,1,2,3,640,28,13,1,4,11,3,3,11,2,2,11,1
2023-09-09,1,3,2,1310,1,6,2,8620,1,2,6,5320,3,21,20,1,9,1,1,9,1,0,17,1
2023-09-10,1,6,2,2670,1,2,4,580,1,2,3,1000,10,1,3,2,15,1,3,15,2,2,1,1
2023-09-11,4,5,6,9300,3,5,4,16190,3,1,6,4820,26,53,16,3,11,2,2,11,1,1,11,1
2023-09-12,3,1,6,28340,1,6,2,2590,1,2,3,1590,65,12,2,1,9,1,1,9,1,1,7,1
2023-09-17,1,6,5,11210,2,5,3,8600,1,3,2,1430,31,35,5,2,1,1,1,1,1,3,1,2
2023-09-18,4,1,6,2080,1,4,6,5890,1,5,4,4640,6,19,15,1,5,1,2,15,1,1,1,1
2023-09-19,1,2,4,470,4,1,2,4220,3,1,4,4200,1,15,15,2,7,1,1,7,1,1,3,1
2023-09-20,2,1,3,1940,1,3,2,2780,2,4,1,1490,7,10,4,3,3,2,3,3,2,3,3,2
2023-09-21,1,4,2,2740,1,2,3,340,2,6,4,40870,10,1,80,2,7,1,2,7,1,3,7,2
2023-09-22,4,1,5,14440,1,2,4,500,1,2,3,830,26,1,1,1,3,1,1,13,1,1,9,1
2023-09-25,3,1,6,9130,1,3,4,780,1,3,4,680,28,1,1,2,1,1,1,1,1,1,15,1
2023-09-26,2,1,6,1490,1,2,3,1500,3,1,5,7770,5,7,25,1,1,1,2,1,1,1,1,1
2023-09-27,1,3,2,540,1,2,4,430,1,3,6,7820,1,2,21,3,11,2,2,9,1,2,9,1
2023-09-28,1,4,3,1170,1,2,3,1010,2,1,3,3820,6,1,13,3,9,2,3,11,2,3,11,2
2023-09-29,1,3,6,2280,1,3,4,1470,1,4,5,1280,11,10,4,1,15,1,1,15,1,1,15,1
2023-09-30,1,2,4,820,3,1,4,12800,3,1,6,3330,3,18,9,3,11,2,3,11,2,3,9,2
2023-10-01,3,4,6,21230,3,2,6,37390,1,4,6,4340,42,85,17,3,11,2,3,11,2,3,11,2
2023-10-03,1,5,3,3390,1,5,2,4940,1,5,6,4710,13,18,20,1,15,1,1,15,1,1,1,1
2023-10-04,1,3,4,920,1,2,3,620,3,2,1,29540,3,1,51,5,11,4,4,11,3,4,11,3
2023-10-05,3,1,2,11400,1,2,4,800,1,3,4,2010,33,2,8,4,11,3,2,11,1,3,11,2
